,bound,mcallester_bound,measure,risk_test,risk_train,seeger_bound
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=path_norm/seed=0/width=256,0.0163844041526317,0.6056107878684998,930.7999267578124,0.507099986076355,0.5151000022888184,0.6045070436632836
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=param_norm/seed=0/width=256,0.0427104160189628,1.0474175214767456,3112.525146484375,0.9019999504089355,0.901283323764801,0.9659937630639104
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_l2-aug/seed=0/width=128,0.0040337876416742,0.1950765252113342,55.74246597290039,0.1424999982118606,0.1501666754484176,0.1840926797806661
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=3/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_l2/seed=0/width=128,0.0043162074871361,0.2110054045915603,68.22423553466797,0.1590999960899353,0.1645500063896179,0.2008766096317509
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=zero-aug/seed=0/width=128,0.0034274461213499,0.1744638085365295,0.0,0.1242999956011772,0.1330666691064834,0.1628371538469304
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=path_norm-aug/seed=0/width=256,0.0174838583916425,0.5150649547576904,984.9798583984376,0.4132999777793884,0.4215666651725769,0.5149243264481653
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=param_norm-aug/seed=0/width=256,0.0427104160189628,1.0474175214767456,3112.525146484375,0.9019999504089355,0.901283323764801,0.9659937630639104
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=3/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=sum_fro/seed=0/width=128,0.0041064359247684,0.1718791127204895,131.29171752929688,0.1224999949336052,0.1265666633844375,0.1587098202660645
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=3/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_l2-aug/seed=0/width=128,0.0040096095763146,0.1800083816051483,67.65138244628906,0.1297999918460846,0.1352333277463913,0.1677713551744987
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=3/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=zero/seed=0/width=128,0.0034662976395338,0.1762811094522476,0.0,0.1345999985933303,0.1346500068902969,0.1647318269683628
