,bound,kl,tS,tT,time
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0358158312737941,129.763427734375,0.008743163,0.00918543,320.4086003303528
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0224374122917652,83.6929931640625,0.0014565032,0.00058280694,321.88077330589294
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0512406192719936,31.0255126953125,0.024231996,0.023837904,322.03237867355347
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0213657692074775,80.9742431640625,0.0013329285,0.00072473084,328.72770166397095
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1155788674950599,19.092010498046875,0.08517013,0.085747935,331.1235179901123
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0542694814503192,106.15863037109376,0.0026175065,0.035341274,239.89620685577395
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1154397949576377,8.01751708984375,0.09058944,0.097388096,335.12603759765625
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1166747435927391,9.984031677246094,0.09149801,0.0797266,334.1877315044403
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0253427550196647,101.3572998046875,0.0019688488,0.0041419654,309.93838572502136
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0316453240811824,109.488525390625,0.0061925147,0.0015060857,299.6640787124634
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0284073557704687,103.6307373046875,0.0038258927,0.0028255389,357.98545718193054
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.037761278450489,33.63232421875,0.016381925,0.017411334,349.4548661708832
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1297699958086013,19.158004760742188,0.094227225,0.112932876,371.9745852947235
data=moons-0_02-7-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=7/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1158013418316841,9.665199279785156,0.08960149,0.085069925,189.6824986934662
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.029579097405076,54.8450927734375,0.006310095,0.007941133,381.0354630947113
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0993477702140808,25.077896118164062,0.06805395,0.07624537,390.2244620323181
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=100/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0472424402832984,30.26739501953125,0.029530462,0.026515616,391.83395171165466
data=moons-0_02-7-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=7/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1156166791915893,9.087730407714844,0.08972367,0.09041473,196.79435300827024
