,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.57798165,0.6497696,0.0001089572906494
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.57798165,0.6497696,0.0001661777496337
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,1.0217689275741575,0.36362615,0.3705159,0.1172369,0.14667322,1.3001389503479004,0.29904997,0.33193117,0.11409396,0.19594595,1.314671277999878
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.5687463265678463,0.1167432,0.11758441,0.03768349,0.035723962,0.0,0.09605509,0.094516166,0.055045873,0.041474655,0.0001044273376464
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.56880736,0.6497696,9.298324584960938e-05
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.4886074960231781,0.10663395,0.10968086,0.027186438,0.033141986,0.2024412155151367,0.08050341,0.087982416,0.036697246,0.032258064,0.8278868198394775
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.5687463265678463,0.1167432,0.11758441,0.03768349,0.035723962,0.0,0.09605509,0.094516166,0.055045873,0.041474655,0.0001060962677001
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.57798165,0.6497696,0.0001327991485595
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,1.0217689275741575,0.36362615,0.3705159,0.1172369,0.14667322,1.3001389503479004,0.29904997,0.33193117,0.11409396,0.19594595,1.31854510307312
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.5146100521087646,0.10233337,0.09407012,0.038798504,0.03156753,0.3122735023498535,0.08996519,0.07860259,0.04895105,0.03521127,0.7165582180023193
