,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5036678864329716,0.10827715,0.11698718,0.026320186,0.034824423,0.0,0.08045876,0.093318015,0.036697246,0.032258064,0.0001087188720703
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5794436078101757,0.0976868,0.091596566,0.05213567,0.034941193,0.0,0.10097907,0.080739476,0.062937066,0.03521127,1.2313528060913086
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.4434251,0.4631902,0.5646698474884033
data=usvotes/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4999844733764484,0.07695026,0.09667357,0.008614749,0.038773846,2.2659120559692383,0.04708988,0.08711063,0.0,0.050691243,0.0363891124725341
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5752116441726685,0.23343971,0.23470102,0.054031476,0.047335185,2.6463735103607178,0.17075133,0.1646857,0.05263158,0.0528169,6.215705394744873
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.6055046,0.62211984,0.0001208782196044
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2053647111086484,0.03814574,0.040111255,0.028817145,0.02683192,0.0,0.047890015,0.046887547,0.042071197,0.0355,1.2312796115875244
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7587203979492188,0.24133246,0.23911135,0.08667419,0.094098456,0.2570447921752929,0.20734042,0.21365413,0.09146342,0.13496932,2.8671374320983887
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5146100521087646,0.10233343,0.09407019,0.03879851,0.031567533,0.3122735023498535,0.089965224,0.07860263,0.04895105,0.03521127,2.6100642681121826
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,1.2980974912643433,0.29918668,0.29354683,0.14315327,0.14900516,0.2848944664001465,0.2927466,0.29577857,0.24,0.25675675,2.583911657333374
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4173104763031006,0.09760294,0.11093938,0.018147457,0.033742644,0.1687545776367187,0.06694893,0.089212336,0.018348623,0.032258064,0.6094560623168945
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7986333293753167,0.25545242,0.24794044,0.09928596,0.097287424,0.0,0.22701217,0.22125764,0.1402439,0.13496932,0.5649592876434326
data=haberman/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999829973315634,0.23271692,0.19621181,0.22520003,0.21026012,0.0,0.3415585,0.30836603,0.32467532,0.2875817,1.231328010559082
data=credit/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7768019241840709,0.23761974,0.24091835,0.07806484,0.0980927,1.4880070686340332,0.19687471,0.21855187,0.07926829,0.13190185,0.1118626594543457
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8116991519927979,0.29000428,0.29100376,0.10892342,0.106924266,1.869323253631592,0.25392556,0.25242615,0.14067279,0.13190185,7.484562158584595
data=heart/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.999977938751536,0.47196305,0.47145095,0.16918513,0.18783541,2.559584617614746,0.40516666,0.4235609,0.10738255,0.18243243,0.1117408275604248
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4973390053062042,0.0835847,0.091515586,0.036039863,0.036707036,0.0,0.077832215,0.08246483,0.055944055,0.04225352,0.0001041889190673
data=tictactoe/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.999999999790494,0.5,0.5,0.24994999,0.2499507,1.9073486328125e-06,0.49995,0.4999507,0.012526096,0.020876827,0.2749629020690918
data=tictactoe/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9997435832849214,0.47350952,0.4754361,0.1865413,0.19259915,2.574650287628174,0.42329606,0.4303172,0.17536534,0.1920668,0.0917174816131591
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5024716258049011,0.19327134,0.19276793,0.03728454,0.044597663,1.972102165222168,0.13392021,0.14098163,0.036697246,0.050691243,4.525363206863403
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.479572594165802,0.23788698,0.24303995,0.047206797,0.055180945,0.5636930465698242,0.16615029,0.17670092,0.033333335,0.0480167,0.994044065475464
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.6242171,0.58455116,0.0001025199890136
data=tictactoe/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5338256635662686,0.23509632,0.23986056,0.0425163,0.054863468,1.4321537017822266,0.16006446,0.17479375,0.016666668,0.03757829,0.0354683399200439
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.999764841831002,0.29961598,0.29868916,0.16965869,0.15254731,0.0,0.31946668,0.3018919,0.26666668,0.23648648,0.5647976398468018
data=heart/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9958630979342494,0.26041207,0.25675404,0.117970005,0.1540519,2.1373400688171387,0.24817604,0.28242892,0.18666667,0.23648648,0.111905813217163
data=heart/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999878984666284,0.3973278,0.39309764,0.15657814,0.15808052,0.5535054206848145,0.35524204,0.35462934,0.22666667,0.23648648,0.0912015438079834
data=heart/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999933023961008,0.46407008,0.46921855,0.16267285,0.19266224,0.427518367767334,0.3947079,0.42727152,0.12,0.27027026,0.0993497371673584
data=usvotes/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7474590149324296,0.3039078,0.30088213,0.055723667,0.055963293,4.545991897583008,0.20767757,0.20640436,0.050458714,0.03686636,0.6610465049743652
data=usvotes/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.6839832605260938,0.2636589,0.26236895,0.04311058,0.05097516,4.928025245666504,0.17494003,0.18215963,0.036697246,0.050691243,0.8906548023223877
data=usvotes/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8935337412923936,0.36392337,0.36565277,0.068038285,0.07519783,0.4492740631103515,0.24999997,0.25802422,0.027522936,0.04608295,0.1218345165252685
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4886074066162109,0.10663391,0.10968081,0.027186427,0.03314198,0.2024412155151367,0.08050338,0.08798239,0.036697246,0.032258064,3.1330137252807617
data=heart/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9999943402451474,0.49130204,0.49173674,0.20167793,0.21160622,0.2478575706481933,0.44732895,0.4574746,0.10067114,0.18243243,0.1794476509094238
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0217689275741575,0.36362615,0.3705159,0.1172369,0.14667322,1.3001389503479004,0.29904997,0.33193117,0.11409396,0.19594595,3.292503833770752
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.188714861869812,0.2659968,0.2934998,0.120509595,0.15885057,0.3519887924194336,0.253508,0.30560046,0.17333333,0.24324325,3.0550670623779297
data=svmguide/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1976373185686357,0.036864974,0.036541138,0.0236464,0.023690743,1.9957811832427976,0.042078886,0.041961312,0.028478965,0.02925,0.1243276596069336
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6123683968387381,0.26608163,0.26682416,0.067459166,0.06650439,0.0,0.20049998,0.19991647,0.058333334,0.064718165,0.0001003742218017
data=haberman/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999970094810936,0.46727186,0.46520618,0.18738246,0.20809098,0.4422121047973633,0.4210184,0.44069406,0.20779221,0.28104576,0.1149344444274902
data=phishing/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.154882863163948,0.04634928,0.044597086,0.027487975,0.033372425,0.4579992294311523,0.050662614,0.055670965,0.03085763,0.036791313,12.496307849884031
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.178920716047287,0.039173875,0.038650047,0.025127182,0.023074,0.420867919921875,0.04471412,0.042399023,0.033009708,0.029,1.4363288879394531
data=credit/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9817377391180304,0.41484493,0.41580176,0.121509075,0.12915197,0.5433292388916016,0.32893154,0.33705285,0.09146342,0.13190185,0.1531555652618408
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.56523144,0.5635,0.0001077651977539
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3183383047580719,0.18843946,0.18451,0.055560187,0.054306373,2.895340919494629,0.14977992,0.14656137,0.08222726,0.081,1.869328498840332
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.2379125356674194,0.4135742,0.40985912,0.17590891,0.17870027,0.4438939094543457,0.382696,0.38362983,0.23529412,0.26143792,0.3448121547698974
data=svmguide/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3401955844752313,0.23762876,0.2358696,0.059059784,0.058108263,2.6746296882629395,0.17787416,0.17604306,0.079313695,0.07925,0.163909912109375
data=usvotes/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999317974155378,0.4648195,0.46811906,0.13598764,0.14964445,0.341435432434082,0.36839738,0.38370398,0.0,0.050691243,0.1223783493041992
data=haberman/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9877789599087952,0.19809559,0.17846417,0.18122391,0.19384503,2.3917102813720703,0.2802717,0.28307712,0.24183007,0.24183007,0.0119531154632568
