,bound,kl,tS,tT,time,dS,dT,eS,eT,rS,rT
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.024994969367981,0.0034980773925781,0.3116883,0.2875817,67.30925416946411,0.2332915,0.19682074,0.22256446,0.20992798,0.3392102,0.30833834
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.966149091720581,0.0366148948669433,0.2875817,0.23529412,87.33468222618103,0.48127767,0.48152745,0.21637864,0.20634049,0.45701748,0.44710422
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.966149091720581,0.0366148948669433,0.2875817,0.23529412,89.1391544342041,0.48127767,0.48152745,0.21637864,0.20634049,0.45701748,0.44710422
data=svmguide/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.0629139617085456,0.2026869058609008,0.040374607,0.035560876,114.92910742759705,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3728081881999969,24.66864013671875,0.17329782,0.16906576,267.37735199928284,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3270739614963531,19.965545654296875,0.14004107,0.14136633,224.1841969490052,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4572822749614715,0.2765765190124511,0.2692429,0.25193492,34.47416281700134,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2522182166576385,0.2356963157653808,0.12662712,0.12966788,53.79391860961914,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1581271290779113,0.4785079956054687,0.07776113,0.068566196,161.50222158432007,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.318970650434494,0.0070300102233886,0.0625,0.06680585,161.5476336479187,0.26447085,0.251647,0.0856127,0.066858545,0.21784812,0.19268204
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.318970650434494,0.0070300102233886,0.0625,0.06680585,161.8278830051422,0.26447085,0.251647,0.0856127,0.066858545,0.21784812,0.19268204
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4841607213020324,10.813522338867188,0.24906811,0.25204954,56.00655508041382,,,,,,
