,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4773924350738525,0.28807214,0.27565315,0.07600537,0.073945254,1.476395606994629,0.22004144,0.21177183,0.088,0.089,1.5519380569458008
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.6224051314582388,0.4017581,0.4000822,0.09867801,0.09723227,2.5720181465148926,0.29955706,0.29727337,0.08,0.082,1.1309688091278076
data=moons-0_02-2-100/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9008052349090576,0.32705548,0.3163155,0.077065215,0.08447166,0.9458699226379396,0.24059296,0.24262941,0.1,0.098,0.8301897048950195
data=moons-0_02-2-100/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9920906317028896,0.39410314,0.39344078,0.08755799,0.100152194,3.172788619995117,0.28460956,0.2968726,0.05,0.084,0.0665392875671386
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5456179976463318,0.2867738,0.2980984,0.074852005,0.079702675,1.2959458827972412,0.2182389,0.22875187,0.072,0.092,1.0266211032867432
data=moons-0_02-2-100/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.44,0.506,0.0001156330108642
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47,0.515,0.000145673751831
data=moons-0_02-1-1000/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.499,0.501,0.0080714225769042
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7257763080318014,0.39436072,0.39538604,0.09471515,0.09661174,2.7557780742645264,0.2918955,0.29430476,0.072,0.081,0.2746772766113281
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9989523260229158,0.40197197,0.39971566,0.0910366,0.10512167,3.861485242843628,0.2920226,0.3049795,0.04,0.09,0.1246721744537353
