,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8780772686004639,0.33029923,0.3195311,0.11929087,0.11626886,0.8079109191894531,0.2844405,0.2760344,0.12083333,0.13778706,1.1611087322235107
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.1898698806762695,0.26173562,0.28919393,0.12077734,0.15937573,0.3498663902282715,0.25164515,0.3039727,0.16,0.23648648,1.0693624019622805
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7050290488911692,0.2657734,0.25354072,0.08844666,0.068093985,0.0,0.22133335,0.19486435,0.07083333,0.058455113,0.0001099109649658
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6011923330718255,0.12386798,0.13616045,0.043754134,0.04242672,0.0,0.105688125,0.110506944,0.07339449,0.05529954,0.0087196826934814
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5843962258591411,0.09936495,0.09108793,0.053114682,0.035336275,0.0,0.10279716,0.08088024,0.055944055,0.03521127,0.005561351776123
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9989742741827816,0.30157587,0.3014326,0.22983705,0.1711835,0.0,0.38062498,0.3218998,0.32916668,0.2400835,0.0001056194305419
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9925704323385244,0.2677707,0.2992217,0.15198132,0.15674052,0.0,0.28586668,0.30635136,0.26666668,0.22297297,0.0087823867797851
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7197600367402224,0.09817055,0.0832485,0.08923635,0.046932053,0.0,0.13832162,0.088556305,0.13986014,0.06690141,0.0055274963378906
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7013884952451472,0.26574004,0.2530088,0.08754668,0.06777538,0.0,0.2204167,0.19427979,0.075,0.06680585,0.0001013278961181
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8577222369260236,0.23959151,0.22902949,0.12209453,0.10260183,0.0,0.24189028,0.21711658,0.16463415,0.12883435,0.0089471340179443
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5146100521087646,0.10233337,0.09407012,0.038798504,0.03156753,0.3122735023498535,0.08996519,0.07860259,0.04895105,0.03521127,0.7375845909118652
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5794435098331359,0.09768662,0.091596395,0.05213567,0.034941196,0.0,0.10097898,0.080739394,0.062937066,0.03521127,0.0054931640625
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5146100521087646,0.10233337,0.09407012,0.038798504,0.03156753,0.3122735023498535,0.08996519,0.07860259,0.04895105,0.03521127,0.7369282245635986
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.4186149835586548,0.33434245,0.34283805,0.24566121,0.18959522,0.0743722915649414,0.41283244,0.36101425,0.375,0.26304802,0.6002805233001709
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.557586177235012,0.11411567,0.11673556,0.03569451,0.034535483,0.0,0.092752345,0.092903264,0.055045873,0.02764977,0.0088028907775878
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.615574300289154,0.09826415,0.07859596,0.05269813,0.04055922,0.5051994323730469,0.10183021,0.0798572,0.06993007,0.06338028,0.6791374683380127
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5436447683822334,0.1041854,0.11527381,0.033687174,0.036556687,0.0,0.085779876,0.09419359,0.06422018,0.050691243,0.0087270736694335
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6522455215454102,0.16467075,0.15980199,0.05709029,0.043604568,0.6439380645751953,0.13942567,0.12350556,0.06993007,0.0528169,0.6853451728820801
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8637593250776331,0.2438964,0.23841357,0.12372254,0.104044765,0.0,0.24567074,0.22325155,0.16463415,0.13496932,0.0088708400726318
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1933357119560241,0.06570438,0.06839925,0.028139513,0.029718347,0.3227357864379883,0.060991704,0.06391797,0.036245953,0.03725,2.481173276901245
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1809809058904647,0.039560035,0.04200792,0.025306243,0.026293168,0.5209875106811523,0.04508626,0.047297128,0.035598706,0.03275,2.1765596866607666
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2758460863538905,0.10311789,0.12059593,0.041975085,0.048634574,0.0,0.09353403,0.10893254,0.066019416,0.0785,0.0001192092895507
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2053647236739296,0.038145524,0.040111043,0.028817156,0.026831932,0.0,0.047889918,0.046887454,0.042071197,0.0355,9.27448272705078e-05
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2017762950606112,0.039178748,0.03928105,0.02805469,0.025262019,0.0,0.047644064,0.044902544,0.039482202,0.03275,0.0001149177551269
